"date" "usdvnd" "eurusd" "usdcny" "usdjpy" "usdkrw" "usdsgd" "usdtwd" "usdthb"
2005-06-01 15852 1.21785 8.2765 108.76 1015.5 1.6786 31.47 40.6525
2005-06-02 15860 1.2268 8.2764 108.29 1013.5 1.6733 31.395 40.685
2005-06-06 15851 1.22585 8.2765 106.94 1007.5 1.663 31.19 40.545
2005-06-07 15851.5 1.22855 8.2764 106.605 1005.5 1.66035 31.175 40.55
2005-06-08 15856 1.22335 8.2764 107.29 1006.5 1.6633 31.245 40.58
2005-06-09 15862.5 1.22295 8.2764 107.43 1003.5 1.6645 31.295 40.64
2005-06-13 15864.5 1.2108 8.2764 109.565 1017.5 1.67925 31.378 40.93
2005-06-14 15867 1.2031 8.2764 109.47 1015.5 1.67865 31.43 40.91
2005-06-15 15863 1.2115 8.2765 109.205 1013.5 1.67125 31.385 40.9
2005-06-16 15871.5 1.21 8.2765 108.96 1014.5 1.6751 31.4 40.93
2005-06-20 15870 1.21515 8.2765 109.265 1010.5 1.674 31.325 41.14
2005-06-21 15865 1.2183 8.2765 108.17 1013.5 1.6694 31.31 41.1
2005-06-22 15861 1.21285 8.2765 108.865 1010.5 1.6715 31.37 41.165
2005-06-23 15870 1.2039 8.2764 108.94 1010.55 1.6716 31.352 41.055
2005-06-27 15860.5 1.21635 8.2765 109.26 1013.5 1.6751 31.3625 41.095
2005-06-28 15856 1.2053 8.2764 110.03 1023.5 1.682 31.43 41.24
2005-06-29 15864.5 1.2071 8.2765 110.43 1026.3 1.6859 31.606 41.313
2005-06-30 15851 1.21075 8.2764 110.92 1035.5 1.68565 31.65 41.325
2005-07-04 15850 1.1902 8.2764 111.63 1043.45 1.6939 31.794 41.45
2005-07-05 15856 1.19115 8.2764 111.735 1049.5 1.6955 31.955 41.53
2005-07-06 15857 1.19325 8.2765 112.18 1054.5 1.6972 31.97 41.605
2005-07-07 15861 1.1951 8.2765 112.085 1051.5 1.69905 32.03 41.745
2005-07-11 15862.5 1.20725 8.2765 111.815 1040 1.69385 31.935 42
2005-07-12 15863 1.22415 8.2765 110.795 1035.5 1.68595 31.8 41.74
2005-07-13 15870 1.2093 8.2764 111.87 1041.5 1.6913 31.885 41.865
2005-07-14 15880 1.2084 8.2765 112.36 1034.5 1.69 31.955 41.825
2005-07-18 15880 1.20525 8.2765 111.975 1033.5 1.685 31.885 41.74
2005-07-19 15876.5 1.20345 8.2765 112.69 1044.5 1.6885 31.855 41.95
2005-07-20 15880 1.21385 8.2764 112.91 1044.5 1.6852 32.01 42.135
2005-07-21 15875 1.21715 8.11 110.27 1035.5 1.65125 31.945 41.25
2005-07-25 15868.5 1.20595 8.1097 111.475 1022.15 1.6617 31.695 41.355
2005-07-26 15872 1.20135 8.1099 112.53 1025.5 1.66895 31.8605 41.565
2005-07-27 15865 1.2068 8.1128 112.465 1031.1 1.66445 31.971 41.65
2005-07-28 15870 1.21375 8.108 112.12 1027.85 1.66425 31.95 41.8
2005-08-01 15875 1.21785 8.1046 112.225 1025.5 1.66015 31.915 41.535
2005-08-02 15883.5 1.2191 8.1032 111.465 1019.5 1.6545 31.8395 41.275
2005-08-03 15877 1.23365 8.1051 111.085 1027.9 1.65175 31.889 41.225
2005-08-04 15885 1.23845 8.1027 111.235 1011.5 1.65245 31.8155 41.145
2005-08-08 15873 1.23515 8.109 112.18 1017.5 1.65475 31.9425 41.16
2005-08-09 15867 1.2371 8.107 111.89 1014.5 1.6534 31.85 41.1775
2005-08-10 15874.5 1.23815 8.1062 110.65 1012.5 1.6463 31.9235 40.905
2005-08-11 15872 1.24695 8.1002 109.705 1013.5 1.64695 31.9025 40.795
2005-08-15 15870.5 1.23675 8.0971 109.235 1015.5 1.658 31.955 41.015
2005-08-16 15863.5 1.2364 8.1002 109.53 1018.5 1.6572 32.025 41.165
2005-08-17 15866 1.2271 8.0997 109.925 1018.05 1.66315 32.059 41.3
2005-08-18 15860 1.2175 8.1007 110.53 1018.5 1.6659 32.114 41.315
2005-08-22 15863 1.2229 8.1056 109.78 1024.5 1.66695 32.1155 41.015
2005-08-23 15870.5 1.2236 8.1012 109.88 1028.5 1.6665 32.125 40.96
2005-08-24 15876.5 1.22725 8.1005 110.215 1027.5 1.6707 32.28 41.105
2005-08-25 15873.5 1.23005 8.1002 110.04 1024.3 1.67175 32.29 41.075
2005-08-29 15886.5 1.22345 8.0954 110.62 1030.5 1.6819 32.483 41.255
2005-08-30 15881 1.2219 8.0973 111.245 1034.2 1.6843 32.6575 41.335
2005-08-31 15876 1.23465 8.0998 110.61 1038.5 1.68135 32.75 41.2775
2005-09-01 15879 1.25005 8.0949 109.82 1029.5 1.6764 32.75 41.075
2005-09-05 15881 1.25405 8.0916 109.14 1022.7 1.6726 32.42 40.985
2005-09-06 15876 1.2467 8.0913 109.665 1025 1.67625 32.584 41.13
2005-09-07 15875 1.24165 8.0925 110.1 1026.3 1.67765 32.6425 41
2005-09-08 15885 1.2398 8.0945 110.515 1027.5 1.67685 32.747 40.975
2005-09-12 15890 1.22845 8.0924 110.365 1026.5 1.6781 32.6835 40.885
2005-09-13 15877 1.2267 8.094 110.65 1025.75 1.68105 32.743 40.895
2005-09-14 15890 1.2286 8.0912 110.385 1025.5 1.6783 32.774 40.905
2005-09-15 15885 1.22235 8.0887 110.635 1025.5 1.67945 32.827 40.955
2005-09-19 15869 1.21405 8.0906 111.535 1028.5 1.6827 33.099 41.115
2005-09-20 15876.5 1.2115 8.089 111.965 1031.5 1.6835 33.044 41.095
2005-09-21 15881 1.22145 8.0912 111.305 1028.5 1.6795 33.091 41.005
2005-09-22 15870 1.21545 8.0881 111.715 1027.65 1.6814 33.1415 41.045
2005-09-26 15885 1.2072 8.0929 112.165 1034.5 1.68805 33.278 41.235
2005-09-27 15890 1.20125 8.092 113.305 1038.5 1.69355 33.2865 41.265
2005-09-28 15890 1.2036 8.0939 113.105 1039.5 1.6921 33.281 41.165
2005-09-29 15895 1.2031 8.093 113.005 1039.5 1.6886 33.2165 41.03
2005-10-03 15896 1.19185 8.092 114.14 1047.5 1.6957 33.24 41.165
2005-10-04 15897.5 1.19175 8.092 114.255 1043.5 1.694 33.2975 41.13
2005-10-05 15891 1.19735 8.092 114.01 1039.5 1.6919 33.2355 41.03
2005-10-06 15898.5 1.2179 8.092 113.295 1039.5 1.68175 33.2575 40.945
2005-10-10 15893.5 1.20665 8.0864 114.1 1037.85 1.68425 33.231 40.81
2005-10-11 15900 1.19925 8.0879 114.56 1041.5 1.69135 33.261 40.945
2005-10-12 15893 1.2024 8.0895 114.385 1043.5 1.6909 33.3755 40.9375
2005-10-13 15903 1.2026 8.0885 114.51 1049.5 1.69025 33.4735 40.915
2005-10-17 15915 1.20245 8.0877 114.92 1048.5 1.69235 33.4615 40.875
2005-10-18 15915 1.19585 8.091 115.705 1053.5 1.6957 33.584 40.86
2005-10-19 15913 1.19925 8.0924 115.44 1053.5 1.6946 33.6835 40.955
2005-10-20 15905 1.2023 8.0905 115.325 1054.5 1.69355 33.6855 40.91
2005-10-24 15904.5 1.1986 8.0916 115.45 1055.5 1.6925 33.77 40.895
2005-10-25 15911 1.21065 8.0901 115.03 1048.5 1.6895 33.7445 40.83
2005-10-26 15916.5 1.2068 8.0867 115.865 1045.5 1.69275 33.66 40.845
2005-10-27 15911 1.2141 8.0862 115.445 1039.5 1.68775 33.6675 40.755
2005-10-31 15896 1.19915 8.0845 116.4 1044 1.6933 33.5515 40.78
2005-11-01 15904 1.202 8.086 116.735 1041.5 1.6956 33.5815 40.84
2005-11-02 15893 1.20735 8.0851 116.875 1041.5 1.69405 33.587 40.84
2005-11-03 15897 1.1944 8.0841 117.215 1044.5 1.6975 33.622 40.85
2005-11-07 15890 1.1804 8.0745 117.685 1050.5 1.70105 33.7 41.015
2005-11-08 15897.5 1.1781 8.0905 117.285 1046.5 1.7019 33.725 41.115
2005-11-09 15900.5 1.1764 8.0895 117.535 1049.5 1.7013 33.655 41.21
2005-11-10 15899 1.1686 8.0847 118.205 1045.5 1.7032 33.625 41.115
2005-11-14 15907.5 1.169 8.0835 118.78 1040.5 1.706 33.4 41.175
2005-11-15 15907.5 1.1719 8.0855 118.92 1035.5 1.7022 33.525 41.135
2005-11-16 15914.5 1.1669 8.0835 119.19 1038.5 1.70345 33.63 41.155
2005-11-17 15907.5 1.1749 8.0875 118.835 1035.5 1.7 33.65 41.135
2005-11-21 15900 1.17265 8.0833 119.055 1039.5 1.699 33.625 41.175
2005-11-22 15902.5 1.18135 8.0839 118.74 1044.5 1.6974 33.635 41.225
2005-11-23 15907.5 1.1823 8.0786 118.725 1037.5 1.69235 33.49 41.135
