"date" "neer" "usd" "cny" "eur" "jpy"
2006-02-20 96.7462999387806 15924.5 8.0525 1.19365 118.26
2006-02-21 96.8975806595643 15924.5 8.0505 1.19125 118.705
2006-02-22 97.0532411581969 15915 8.0475 1.19125 118.55
2006-02-23 96.6825834119313 15919 8.0492 1.19185 117.14
2006-02-27 96.5408427151987 15914 8.0421 1.18485 116.125
2006-02-28 96.4294432411397 15910 8.0402 1.19215 115.76
2006-03-01 96.3610176512523 15913 8.0382 1.19225 116.08
2006-03-02 96.1718009652216 15904.5 8.0395 1.20395 115.89
2006-03-06 96.5941668930144 15915 8.0381 1.20165 117.59
2006-03-07 96.9860893432279 15915 8.04395 1.18885 117.86
2006-03-08 96.9880513940205 15904 8.0494 1.19245 117.855
2006-03-09 97.0366272768756 15907.5 8.054 1.19115 118.215
2006-03-13 97.004123354932 15905 8.0505 1.19635 118.735
2006-03-14 96.7632225126547 15897.5 8.0525 1.20125 117.615
2006-03-15 96.539728564197 15902.5 8.0394 1.20695 117.38
2006-03-16 96.3057437731341 15912.5 8.04035 1.2183 116.83
2006-03-20 96.054911544293 15908 8.0299 1.21655 116.375
2006-03-21 96.3322507660324 15912.5 8.02945 1.20945 117.26
2006-03-22 96.385671328475 15917.5 8.0315 1.20785 117.025
2006-03-23 96.6336870743851 15924.5 8.0301 1.1973 117.85
2006-03-27 96.3498350878035 15932 8.023 1.20135 116.76
2006-03-28 96.6245735360796 15922 8.0206 1.1996 117.97
2006-03-29 96.5633468607115 15925.5 8.0259 1.20265 117.805
2006-03-30 96.2236494428317 15936 8.0276 1.21625 117.33
2006-04-03 96.3033221115059 15925.5 8.0235 1.21385 117.69
2006-04-04 95.9860681218759 15922 8.016 1.22575 117.54
2006-04-05 95.7439070408597 15932.5 8.0135 1.22905 117.42
2006-04-06 95.8306541366576 15922 8.0092 1.22305 117.76
2006-04-10 95.9978753389833 15925.5 8.0095 1.2111 118.345
2006-04-11 95.9797132626395 15927 8.0072 1.21455 118.295
2006-04-12 96.1748709700435 15929 8.0133 1.21035 118.555
2006-04-13 96.1872561170986 15927 8.0197 1.2109 118.56
2006-04-17 95.7843772491376 15927.5 8.0235 1.22505 117.81
2006-04-18 95.5169099199694 15930 8.024 1.23505 117.085
2006-04-19 95.3796098869514 15932 8.01475 1.23825 117.305
2006-04-20 95.4527277453367 15934 8.01375 1.23165 117.53
2006-04-24 94.7245964921307 15934.5 8.0215 1.23875 114.655
2006-04-25 94.7214797360316 15937.5 8.0142 1.24305 114.82
2006-04-26 94.711602525477 15937.5 8.0215 1.24555 114.705
2006-04-27 94.4450988760653 15935 8.0215 1.25335 114.125
2006-05-01 94.185924475336 15944.5 8.0165 1.25885 113.375
2006-05-02 94.127616410586 15941.5 8.0165 1.26135 113.355
2006-05-03 93.9541970519247 15957 8.0153 1.26345 113.6
2006-05-04 93.9253893326945 15965 8.0153 1.26925 113.66
2006-05-08 93.0674075767694 16008 8.0095 1.2713 111.645
2006-05-09 93.0937663679285 15996 8.00595 1.27585 111.04
2006-05-10 92.9039713848894 15985 8.0085 1.27835 110.515
2006-05-11 93.1042500832978 15973 8.0063 1.28365 110.725
2006-05-15 93.4133265052348 15976 8.003 1.2796 110.515
2006-05-16 93.2722296856298 15971 8.003 1.28595 109.76
2006-05-17 93.4982974766765 15967.5 8.0038 1.27445 110.98
2006-05-18 93.5741899797133 15967.5 8.013 1.2846 110.815
2006-05-22 93.8973572048366 15972 8.026 1.28665 111.575
2006-05-23 93.8195351029717 15971 8.024 1.28155 111.985
2006-05-24 94.212672591908 15964.5 8.0227 1.27535 112.95
2006-05-25 93.9000282314039 15967.5 8.0277 1.28005 111.775
2006-05-29 93.9847708864853 15972.5 8.0253 1.27495 112.46
2006-05-30 93.877126399103 15967.5 8.0353 1.287 112.17
